,IND1,IND3,IND5,IND7,IND8,IND9,IND10,IND11,IND12,IND14,IND15,IND16,IND17,IND18,IND19,IND21,IND22,IND23,IND24,IND25,IND26,IND27,IND28,IND29,IND30,IND31,IND32,IND33,IND34,IND36,IND37,IND38,IND40,IND41,IND42,IND43,IND44,IND47,IND48,IND49,IND50,IND52,IND53,IND54,IND55,IND57,IND59,IND60,IND61,IND62,IND63,IND64,IND65,IND66,IND67,IND68,IND69,IND70,IND71,IND72,IND73,IND74,IND75,IND76,IND77,IND79,IND80,IND81,IND82,IND84,IND85,IND86,IND87,IND88,IND89,IND91,IND92,IND93,IND94,IND95,IND96,IND97,IND98,IND99,IND101,IND108,IND102
M_11_10419,-,B,-,B,A,A,A,A,B,B,B,A,A,-,A,B,B,A,B,A,A,A,A,A,B,B,B,A,B,A,B,A,B,B,B,B,A,B,A,B,A,A,A,A,B,B,B,A,B,A,A,B,B,B,A,B,A,A,B,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,-,-,A,A,A,A,-,-,-,A,A,B,B
M_12_30877,B,B,B,B,A,A,A,A,B,B,B,A,A,A,A,A,A,B,B,A,B,A,A,A,B,B,B,A,B,A,B,B,B,A,B,B,A,B,-,A,A,A,A,A,B,B,B,A,B,B,A,A,A,B,B,A,A,A,B,A,B,A,B,A,B,B,-,A,B,A,A,A,B,B,B,B,A,-,A,B,-,A,B,A,A,A,A
M_11_20712,B,-,B,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,B,A,B,A,A,B,B,B,B,A,B,B,B,B,B,A,B,B,A,B,B,A,A,A,A,A,B,B,B,A,A,B,A,A,A,B,A,A,B,B,B,A,B,A,B,A,B,B,A,A,B,A,A,-,B,B,-,B,A,B,A,B,-,A,B,A,A,A,A
M_12_10506,B,B,B,B,A,B,B,A,B,A,A,A,B,A,A,A,A,B,-,B,A,A,A,A,B,B,B,A,A,B,B,B,A,A,A,A,A,A,B,A,A,A,B,A,B,B,B,B,A,B,A,A,A,A,A,A,B,B,B,A,B,B,B,A,B,B,B,A,A,A,A,-,B,-,A,B,B,-,A,B,-,A,B,A,A,B,A
M_11_10006,A,B,B,B,A,A,B,A,B,A,B,A,B,A,B,A,A,B,-,B,A,A,B,B,B,A,A,A,A,B,B,B,B,A,A,A,-,-,A,A,-,A,B,A,B,B,A,-,-,A,A,B,A,A,B,A,B,B,B,A,A,B,B,A,B,B,A,-,-,A,-,-,B,-,A,-,-,B,B,B,-,A,-,B,A,A,A
M_11_21126,A,B,-,-,A,A,B,A,B,A,B,-,B,A,B,A,A,B,-,B,A,A,-,-,B,A,-,A,A,B,B,B,B,A,A,A,B,B,-,A,B,A,B,A,B,B,-,B,B,A,A,B,A,-,-,A,-,B,-,A,A,B,-,A,B,-,-,-,B,A,B,-,B,B,A,-,B,A,B,-,-,A,B,B,A,A,A
M_11_20434,A,B,A,B,A,B,A,A,B,A,B,B,A,A,B,B,A,A,B,B,A,A,B,B,B,B,A,B,A,B,B,A,B,A,A,A,B,-,A,A,B,A,B,A,B,B,A,B,B,A,B,B,B,A,B,A,B,B,A,B,A,B,B,B,B,B,A,B,B,A,B,-,-,B,B,B,A,A,B,B,-,A,B,B,A,A,A
M_11_20769,A,B,A,B,A,B,A,A,B,A,B,B,A,A,B,B,A,A,B,B,A,A,B,B,B,B,A,B,A,B,B,A,B,A,A,A,B,A,-,A,B,A,B,A,B,B,A,B,B,A,B,B,B,A,B,A,-,B,A,A,A,B,B,B,B,B,A,B,B,A,B,-,-,B,B,B,A,A,B,B,-,A,B,B,A,A,A
M_11_21446,A,B,A,B,A,B,A,A,B,A,B,B,A,A,B,B,A,A,B,B,A,A,B,B,B,B,A,B,A,B,B,A,B,A,A,A,B,A,A,A,B,A,B,A,B,B,A,B,B,A,B,B,B,B,B,A,-,B,A,A,A,B,B,B,B,B,A,B,B,A,B,-,-,B,B,B,A,A,B,B,B,A,B,B,A,A,A
M_11_10522,B,B,B,B,A,B,A,A,B,-,-,-,A,A,-,B,A,A,A,B,A,A,B,B,B,B,A,-,A,B,B,A,B,A,A,A,-,A,-,A,B,A,B,A,-,B,A,B,B,A,B,B,B,B,B,A,A,B,A,A,A,A,B,B,A,B,A,B,B,A,-,-,A,A,B,B,B,-,B,B,-,A,B,B,A,B,A
